,Name,X_center,Y_center,Radius
189,MCELS-L195,7812.3752,5676.7502,37.771000
190,MCELS-L196,7728.2448,9451.8916,17.528500
191,MCELS-L197,7774.8232,6230.5773,13.753000
192,MCELS-L198,7738.2625,9551.2396,108.16250
193,MCELS-L199,7693.2724,13303.208,113.44700
194,MCELS-L200,7628.5315,12872.544,307.17200
195,MCELS-L201,7656.4564,9365.7815,82.179000
196,MCELS-L202,7781.4296,3192.4925,274.68650
197,MCELS-L203,7664.5410,8098.3848,42.180500
198,MCELS-L204,7643.5204,9130.6921,12.500000
199,MCELS-L205,7558.6816,13335.212,54.406500
200,MCELS-L206,7603.3137,9462.9510,42.862000
201,MCELS-L207,7712.1185,2783.2150,134.20400
202,MCELS-L208,7614.4149,9115.6014,12.428000
203,MCELS-L209,7675.1797,5395.0012,32.429000
204,MCELS-L210,7600.9330,9007.7642,46.009500
205,MCELS-L211,7545.3980,11697.531,24.440500
206,MCELS-L212,7566.7766,9179.1808,68.577500
207,MCELS-L213,7508.8911,11629.612,29.986000
208,MCELS-L214,7613.5928,5933.5298,18.113500
209,MCELS-L215,7465.9167,13371.335,45.842000
210,MCELS-L216,7511.0357,9254.5719,9.8295000
211,MCELS-L217,7447.3795,12182.774,22.219000
212,MCELS-L218,7489.6917,9253.9172,14.489000
213,MCELS-L219,7478.8940,9370.0614,53.475000
214,MCELS-L220,7461.6481,8887.1312,42.606500
215,MCELS-L221,7502.4335,6291.4082,34.957500
216,MCELS-L222,7417.0495,9238.2678,14.932000
217,MCELS-L223,7484.0474,6359.7979,30.105000
218,MCELS-L224,7455.3719,6210.8356,28.163500
219,MCELS-L225,7391.5895,7567.5959,8.0305000
220,MCELS-L226,7422.8944,6248.2654,19.607000
221,MCELS-L227,7414.2239,6296.2097,13.782500
222,MCELS-L228,7373.5483,7582.7623,12.500000
223,MCELS-L229,7346.8567,8351.4062,8.5680000
224,MCELS-L230,7383.9282,6287.8278,14.527500
225,MCELS-L231,7317.7822,8307.7776,61.217500
226,MCELS-L232,7208.5121,12422.527,129.90050
227,MCELS-L233,7451.7921,2695.8456,54.346500
228,MCELS-L234,7331.0492,6632.6059,65.403500
229,MCELS-L235,7312.2229,7300.0725,158.45350
230,MCELS-L236,7176.3912,11141.865,350.62600
231,MCELS-L237,7269.1923,8389.5256,13.246500
232,MCELS-L238,7212.6816,8391.9089,27.755000
233,MCELS-L239,7186.9521,12089.083,113.41950
234,MCELS-L240,7268.3525,6297.7043,28.857500
235,MCELS-L241,7346.9515,3004.2425,30.460500
236,MCELS-L242,7011.3829,12853.618,114.63350
237,MCELS-L243,7189.1754,6665.8641,30.816500
238,MCELS-L244,7024.0527,12195.653,16.959000
239,MCELS-L245,6917.4636,12973.634,34.254000
240,MCELS-L247,6971.7214,12385.093,110.20800
241,MCELS-L248,6953.5208,10728.323,82.289500
242,MCELS-L249,6865.0181,12189.818,99.706000
243,MCELS-L250,6957.1076,10161.202,188.13300
244,MCELS-L251,6958.4638,9929.6906,9.6595000
245,MCELS-L252,6907.6067,9891.2133,96.065000
246,MCELS-L253,6845.9577,12410.302,18.119000
247,MCELS-L254,7022.7485,6874.4897,83.179000
248,MCELS-L255,6922.5932,9785.0675,14.609500
249,MCELS-L256,6998.9133,7365.9476,184.19250
250,MCELS-L257,6897.7877,9738.8978,30.945000
251,MCELS-L258,6944.7693,7733.6561,183.59100
252,MCELS-L259,7123.0516,2891.0951,186.83450
253,MCELS-L260,6858.6585,4483.4635,233.49550
254,MCELS-L261,7012.5224,3128.9436,24.951000
255,MCELS-L262,6720.4174,10202.167,52.569500
256,MCELS-L263,6704.4723,8364.6820,262.62750
257,MCELS-L264,6978.2144,3094.3575,31.038000
258,MCELS-L266,6788.8885,6790.9166,66.296500
259,MCELS-L267,6625.4928,10234.316,69.562000
260,MCELS-L268,6601.0125,10317.515,27.237500
261,MCELS-L269,6702.5894,7452.1462,118.66950
262,MCELS-L270,6754.3021,5061.3086,91.427000
263,MCELS-L271,6523.4271,9833.2653,233.62950
264,MCELS-L272,6344.9272,11138.601,152.83250
265,MCELS-L273,6566.2191,5958.0311,86.763500
266,MCELS-L274,6637.6163,3688.3545,23.002000
267,MCELS-L276,6434.9407,5401.6167,63.486500
268,MCELS-L277,6584.9367,3799.5498,228.36400
269,MCELS-L278,6496.2800,3572.8514,25.605500
270,MCELS-L279,6122.1124,10396.088,12.500000
271,MCELS-L280,6338.5630,6801.8458,198.00650
272,MCELS-L281,6086.8654,10326.230,32.415000
273,MCELS-L282,6078.6907,10199.492,55.865000
274,MCELS-L284,6100.6481,7989.6582,71.111000
275,MCELS-L285,5838.2662,12051.075,31.749500
276,MCELS-L286,6049.2716,8030.2290,7.6810000
277,MCELS-L287,6098.7801,8297.1236,200.98350
278,MCELS-L288,5800.9233,12106.478,35.776000
279,MCELS-L289,6014.3854,9891.5767,262.35950
280,MCELS-L290,5997.8810,7996.3483,20.657500
281,MCELS-L291,5775.5003,12024.355,136.72600
282,MCELS-L292,5927.6695,8464.7090,32.131500
283,MCELS-L293,5840.8513,9518.1299,19.412500
284,MCELS-L294,5971.2555,7522.6445,127.63550
285,MCELS-L295,5783.5090,9703.8226,44.930000
286,MCELS-L296,5687.4087,10173.332,196.00300
287,MCELS-L297,5811.0270,7807.6769,16.645500
288,MCELS-L299,5484.3248,10798.400,62.558000
289,MCELS-L300,5415.8139,12543.493,91.761000
290,MCELS-L302,5368.0315,12345.968,109.44950
291,MCELS-L303,5336.1409,12884.647,167.12000
292,MCELS-L304,5722.7058,6449.0536,34.467500
293,MCELS-L305,5445.7906,10328.896,12.500000
294,MCELS-L306,5736.5793,6102.1627,219.97150
295,MCELS-L307,5420.9262,9979.1313,118.35700
296,MCELS-L308,5459.1719,9696.1015,161.10100
297,MCELS-L309,5254.3292,11683.880,144.14250
298,MCELS-L310,5157.4252,12701.399,99.636500
299,MCELS-L311,5348.5619,9847.2279,27.086500
300,MCELS-L313,5495.2924,6369.9929,75.631500
301,MCELS-L314,5009.7558,12694.549,113.19050
302,MCELS-L315,5489.1919,5897.7348,48.763500
303,MCELS-L316,5128.0337,10130.464,98.526000
304,MCELS-L317,5008.5983,11961.293,71.618000
305,MCELS-L318,4930.8565,12101.656,86.657000
306,MCELS-L319,4960.3565,11551.617,178.55850
